Bowflex Max Trainer,CAM47197 IFC*N120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/18/2015,8/18/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,,8/21/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,9,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,8,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47363 VEL*N180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47363 VEL*N180HAMF*TIC,,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47363 VEL*N180HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47363 VEL*N180HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47363 VEL*N180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47363 VEL*N180HAMF*TIC,,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47363 VEL*N180HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,8,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47368 FYI*N180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47368 FYI*N180HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47368 FYI*N180HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47368 FYI*N180HAMF*TIC,,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47368 FYI*N180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47368 FYI*N180HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47368 FYI*N180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/18/2015,8/18/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/21/2015,8/21/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/22/2015,8/22/2015,8/17/2015,8,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,4,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/21/2015,8/21/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47385 RELZ*N120HAMBYTIC,8/22/2015,8/22/2015,8/17/2015,6,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47386 WNATN120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47386 WNATN120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47386 WNATN120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47386 WNATN120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47386 WNATN120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47386 WNATN120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47386 WNATN120HAMBYTIC,8/21/2015,8/21/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/23/2015,8/23/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47393 PIVTN180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47528 FOX*NVODHAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47687 SCIEN120HAMBYTIC,,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47688 JUSTN120HAMBYTIC,8/18/2015,8/18/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47688 JUSTN120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47688 JUSTN120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47688 JUSTN120HAMBYTIC,8/21/2015,8/21/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47688 JUSTN120HAMBYTIC,8/22/2015,8/22/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47688 JUSTN120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/18/2015,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47833 GRITN120HAMBYTIC,,8/22/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,8/18/2015,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,8/22/2015,8/22/2015,8/17/2015,6,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,8/21/2015,8/21/2015,8/17/2015,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47834 LAFFN120HAMBYTIC,,8/21/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47835 SUNDN180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47835 SUNDN180HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47835 SUNDN180HAMF*TIC,,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47835 SUNDN180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47835 SUNDN180HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47835 SUNDN180HAMF*TIC,8/23/2015,8/23/2015,8/17/2015,8,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47835 SUNDN180HAMF*TIC,,8/17/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47836 OWN*N180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,12,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47836 OWN*N180HAMF*TIC,,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47836 OWN*N180HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47836 OWN*N180HAMF*TIC,,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47836 OWN*N180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,7,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47836 OWN*N180HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47899 CMACL60*HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47899 CMACL60*HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47899 CMACL60*HAMF*TIC,,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47899 CMACL60*HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47899 CMACL60*HAMF*TIC,8/23/2015,8/23/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47901 CMCYL60*HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47902 CMFXL60*HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47903 CMSYL60*HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47903 CMSYL60*HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47904 CMTRL60*HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47950 DISNN60*HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47950 DISNN60*HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47950 DISNN60*HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,6,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47950 DISNN60*HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47950 DISNN60*HAMF*TIC,,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47950 DISNN60*HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47951 DIRNN60*HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47951 DIRNN60*HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,7,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48042 CMESL60*HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48042 CMESL60*HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48042 CMESL60*HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48042 CMESL60*HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,,8/17/2015,8/17/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,,8/18/2015,8/17/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,,8/20/2015,8/17/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/17/2015,8/17/2015,8/17/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/17/2015,8/17/2015,6,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/18/2015,8/18/2015,8/17/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/18/2015,8/17/2015,4,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/19/2015,8/19/2015,8/17/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/19/2015,8/17/2015,5,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/20/2015,8/20/2015,8/17/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/20/2015,8/17/2015,6,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/21/2015,8/21/2015,8/17/2015,4,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/21/2015,8/17/2015,3,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/22/2015,8/22/2015,8/17/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/22/2015,8/17/2015,3,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/23/2015,8/23/2015,8/17/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/23/2015,8/17/2015,7,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM18438 Bowflex-Catalog,,8/26/2015,8/24/2015,1,Catalog,Call Center Internal
Bowflex Max Trainer,CAM27557 Bowflex Catalog,,8/24/2015,8/24/2015,1,Catalog,Call Center Internal
Bowflex Max Trainer,CAM27557 Bowflex Catalog,,8/28/2015,8/24/2015,1,Catalog,Call Center Internal
Bowflex Max Trainer,CAM47779 DCBHOMESUMOFFR15,,8/25/2015,8/24/2015,7,Catalog,Web
Bowflex Max Trainer,CAM47779 DCBHOMESUMOFFR15,,8/26/2015,8/24/2015,3,Catalog,Web
Bowflex Max Trainer,CAM47779 DCBHOMESUMOFFR15,,8/27/2015,8/24/2015,3,Catalog,Web
Bowflex Max Trainer,CAM47779 DCBHOMESUMOFFR15,,8/28/2015,8/24/2015,4,Catalog,Web
Bowflex Max Trainer,CAM47779 DCBHOMESUMOFFR15,,8/29/2015,8/24/2015,1,Catalog,Web
Bowflex Max Trainer,CAM47779 DCBHOMESUMOFFR15,,8/30/2015,8/24/2015,5,Catalog,Web
Bowflex Max Trainer,CAM38406 SAWDPETPRINT12F,,8/24/2015,8/24/2015,1,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM38406 SAWDPETPRINT12F,,8/25/2015,8/24/2015,1,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM38406 SAWDPETPRINT12F,,8/26/2015,8/24/2015,1,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM38406 SAWDPETPRINT12F,,8/27/2015,8/24/2015,2,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM45561 DPEEPRINT14B,8/26/2015,8/26/2015,8/24/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45563 DPEEPRINT14D,,8/24/2015,8/24/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45563 DPEEPRINT14D,8/25/2015,8/25/2015,8/24/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM47998 DPEEPRINT15B,8/24/2015,8/24/2015,8/24/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM47998 DPEEPRINT15B,8/26/2015,8/26/2015,8/24/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/24/2015,8/24/2015,8/24/2015,78,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,8/24/2015,8/24/2015,8,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/25/2015,8/25/2015,8/24/2015,27,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,8/25/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/26/2015,8/26/2015,8/24/2015,39,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/28/2015,8/26/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,8/26/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/27/2015,8/27/2015,8/24/2015,40,Electronic - Short Form,Web
