Bowflex Max Trainer,CAM47197 IFC*N120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM44172 dseesf14a,,8/27/2015,8/24/2015,7,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/28/2015,8/28/2015,8/24/2015,56,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/29/2015,8/28/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,8/28/2015,8/24/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/29/2015,8/29/2015,8/24/2015,28,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,8/29/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,8/30/2015,8/30/2015,8/24/2015,49,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,8/30/2015,8/24/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/24/2015,8/24/2015,8/24/2015,70,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/27/2015,8/24/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,8/24/2015,8/24/2015,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/25/2015,8/25/2015,8/24/2015,26,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,8/25/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/26/2015,8/26/2015,8/24/2015,27,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/27/2015,8/27/2015,8/24/2015,32,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,8/27/2015,8/24/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/28/2015,8/28/2015,8/24/2015,26,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,8/28/2015,8/24/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/29/2015,8/29/2015,8/24/2015,13,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,8/29/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,8/30/2015,8/30/2015,8/24/2015,13,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,8/30/2015,8/24/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,8/24/2015,8/24/2015,8/24/2015,7,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,,8/24/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,8/25/2015,8/25/2015,8/24/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,8/26/2015,8/26/2015,8/24/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,8/27/2015,8/27/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,8/28/2015,8/28/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,8/29/2015,8/29/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,8/30/2015,8/30/2015,8/24/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,,8/30/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,8/24/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,8/25/2015,8/25/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,8/25/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,8/26/2015,8/26/2015,8/24/2015,2,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,8/27/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,8/28/2015,8/28/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,8/30/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45387 DSEESF14E,8/24/2015,8/24/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,,8/24/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,,8/25/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,8/26/2015,8/26/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,8/27/2015,8/27/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,8/28/2015,8/28/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,,8/29/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,8/30/2015,8/30/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,,8/30/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/24/2015,8/24/2015,8/24/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/25/2015,8/24/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,8/24/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/25/2015,8/25/2015,8/24/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,8/25/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/26/2015,8/26/2015,8/24/2015,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/27/2015,8/27/2015,8/24/2015,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,8/27/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/28/2015,8/28/2015,8/24/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,8/28/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/29/2015,8/29/2015,8/24/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,8/29/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,8/30/2015,8/30/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,8/30/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,8/26/2015,8/26/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,8/24/2015,8/24/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,8/27/2015,8/27/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,8/29/2015,8/29/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,8/30/2015,8/30/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,8/25/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,8/27/2015,8/27/2015,8/24/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45798 DSEESF14H,8/24/2015,8/24/2015,8/24/2015,14,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,8/25/2015,8/24/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,8/24/2015,8/24/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,8/25/2015,8/25/2015,8/24/2015,14,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,8/25/2015,8/24/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,8/26/2015,8/26/2015,8/24/2015,15,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,8/26/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,8/27/2015,8/27/2015,8/24/2015,7,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,8/27/2015,8/24/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,8/28/2015,8/28/2015,8/24/2015,8,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,8/28/2015,8/24/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,8/30/2015,8/30/2015,8/24/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM25756 DEGSAWBFG,,8/28/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM32136 deggbhg,,8/24/2015,8/24/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,,8/28/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM41189 degemax,,8/24/2015,8/24/2015,121,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,8/26/2015,8/25/2015,8/24/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,,8/25/2015,8/24/2015,67,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,,8/26/2015,8/24/2015,83,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,,8/27/2015,8/24/2015,72,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,8/30/2015,8/28/2015,8/24/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,,8/28/2015,8/24/2015,57,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,,8/29/2015,8/24/2015,56,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM41189 degemax,,8/30/2015,8/24/2015,84,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44236 SAWMAX,8/24/2015,8/24/2015,8/24/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/24/2015,8/24/2015,3,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/25/2015,8/24/2015,8,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,8/26/2015,8/26/2015,8/24/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/26/2015,8/24/2015,3,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,8/27/2015,8/27/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/27/2015,8/24/2015,3,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,8/28/2015,8/28/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/28/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,8/29/2015,8/29/2015,8/24/2015,4,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/29/2015,8/24/2015,6,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/30/2015,8/24/2015,4,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44236 SAWMAX,,8/24/2015,8/24/2015,1,Electronic - UnSourced,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM44236 SAWMAX,,8/29/2015,8/24/2015,1,Electronic - UnSourced,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM44236 SAWMAX,8/30/2015,8/30/2015,8/24/2015,1,Electronic - UnSourced,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM44433 dege1sitemx,8/24/2015,8/24/2015,8/24/2015,21,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,,8/24/2015,8/24/2015,51,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,8/25/2015,8/25/2015,8/24/2015,15,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,,8/25/2015,8/24/2015,24,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,8/26/2015,8/26/2015,8/24/2015,13,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,,8/26/2015,8/24/2015,22,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,8/27/2015,8/27/2015,8/24/2015,18,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,,8/27/2015,8/24/2015,23,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,8/28/2015,8/28/2015,8/24/2015,11,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,,8/28/2015,8/24/2015,33,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,8/29/2015,8/29/2015,8/24/2015,11,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,,8/29/2015,8/24/2015,31,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,8/30/2015,8/30/2015,8/24/2015,17,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,,8/30/2015,8/24/2015,41,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,8/24/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,8/25/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,8/26/2015,8/26/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,8/26/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,8/27/2015,8/27/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,8/27/2015,8/24/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,8/28/2015,8/28/2015,8/24/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,8/28/2015,8/24/2015,3,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,8/30/2015,8/30/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,8/30/2015,8/24/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45699 SAWICAEEMAX,,8/28/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM6025 SAWWEBTC,,8/24/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM6025 SAWWEBTC,,8/28/2015,8/24/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM6110 SAWGOOGTC,,8/25/2015,8/24/2015,1,Online,Call Center Internal
Bowflex Max Trainer,CAM45736 DODRFEDL3,,8/24/2015,8/24/2015,2,Online Display,Web
Bowflex Max Trainer,CAM45736 DODRFEDL3,8/25/2015,8/25/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM45736 DODRFEDL3,8/28/2015,8/28/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM45910 DODADCEDL3,8/25/2015,8/25/2015,8/24/2015,2,Online Display,Web
Bowflex Max Trainer,CAM45910 DODADCEDL3,8/26/2015,8/26/2015,8/24/2015,2,Online Display,Web
Bowflex Max Trainer,CAM47239 SAWDODCTOE,8/26/2015,8/26/2015,8/24/2015,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,,8/26/2015,8/24/2015,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,,8/27/2015,8/24/2015,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,8/28/2015,8/28/2015,8/24/2015,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,,8/29/2015,8/24/2015,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,8/30/2015,8/30/2015,8/24/2015,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/24/2015,8/24/2015,8/24/2015,24,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/24/2015,8/24/2015,27,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/25/2015,8/25/2015,8/24/2015,14,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/26/2015,8/25/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/27/2015,8/25/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/28/2015,8/25/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/25/2015,8/24/2015,13,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/26/2015,8/26/2015,8/24/2015,21,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/26/2015,8/24/2015,9,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/27/2015,8/27/2015,8/24/2015,14,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/27/2015,8/24/2015,11,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/28/2015,8/28/2015,8/24/2015,8,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/28/2015,8/24/2015,15,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/29/2015,8/29/2015,8/24/2015,12,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/29/2015,8/24/2015,12,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,8/30/2015,8/30/2015,8/24/2015,14,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/30/2015,8/24/2015,18,Online Display,Web
Bowflex Max Trainer,CAM47847 DODFBKEDL2,,8/27/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47940 DODFBKEDL5,,8/24/2015,8/24/2015,3,Online Display,Web
Bowflex Max Trainer,CAM47940 DODFBKEDL5,,8/25/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47940 DODFBKEDL5,8/26/2015,8/26/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47940 DODFBKEDL5,,8/27/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47940 DODFBKEDL5,,8/30/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47941 DODFBKEDL6,,8/24/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47941 DODFBKEDL6,,8/25/2015,8/24/2015,1,Online Display,Web
Bowflex Max Trainer,CAM32308 SAWDOSMSNC,,8/24/2015,8/24/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM32376 dosg2csl1,,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,8/24/2015,8/24/2015,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,8/25/2015,8/25/2015,8/24/2015,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,8/25/2015,8/24/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,8/26/2015,8/26/2015,8/24/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,8/27/2015,8/27/2015,8/24/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,8/28/2015,8/24/2015,6,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,8/29/2015,8/24/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,8/30/2015,8/24/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,8/24/2015,8/24/2015,1,Online Search,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM44223 SAWDOSBIE,8/25/2015,8/25/2015,8/24/2015,1,Online Search,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,8/28/2015,8/24/2015,1,Online Search,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM44230 SAWDOSG2E,8/24/2015,8/24/2015,8/24/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44230 SAWDOSG2E,,8/24/2015,8/24/2015,3,Online Search,Call Center Internal
